# SINTÉTICO — demo crevice_flow (não é dado de ensaio)
theta_deg,P_bar
-42.500,10.072809
-42.000,10.288231
-41.500,10.509894
-41.000,10.737995
-40.500,10.972741
-40.000,11.214344
-39.500,11.463020
-39.000,11.718993
-38.500,11.982493
-38.000,12.253755
-37.500,12.533022
-37.000,12.820539
-36.500,13.116560
-36.000,13.421345
-35.500,13.735157
-35.000,14.058265
-34.500,14.390945
-34.000,14.733473
-33.500,15.086135
-33.000,15.449215
-32.500,15.823004
-32.000,16.207794
-31.500,16.603877
-31.000,17.011549
-30.500,17.431104
-30.000,17.862834
-29.500,18.307030
-29.000,18.763977
-28.500,19.233958
-28.000,19.717244
-27.500,20.214101
-27.000,20.724781
-26.500,21.249525
-26.000,21.788556
-25.500,22.342078
-25.000,22.910275
-24.500,23.493305
-24.000,24.091296
-23.500,24.704346
-23.000,25.332516
-22.500,25.975825
-22.000,26.634247
-21.500,27.307709
-21.000,27.996078
-20.500,28.699164
-20.000,29.416710
-19.500,30.148386
-19.000,30.893787
-18.500,31.652422
-18.000,32.423710
-17.500,33.206978
-17.000,34.001448
-16.500,34.806237
-16.000,35.620348
-15.500,36.442668
-15.000,37.271961
-14.500,38.106867
-14.000,38.945895
-13.500,39.787425
-13.000,40.629705
-12.500,41.470853
-12.000,42.308855
-11.500,43.141573
-11.000,43.966748
-10.500,44.782005
-10.000,45.584866
-9.500,46.372757
-9.000,47.143025
-8.500,47.892947
-8.000,48.619755
-7.500,49.320647
-7.000,49.992815
-6.500,50.633462
-6.000,51.239829
-5.500,51.809221
-5.000,52.339029
-4.500,52.826760
-4.000,53.270060
-3.500,53.666743
-3.000,54.014813
-2.500,54.312488
-2.000,54.558221
-1.500,54.750719
-1.000,54.888959
-0.500,54.972202
0.000,55.000000
0.500,54.972202
1.000,54.888959
1.500,54.750719
2.000,54.558221
2.500,54.312488
3.000,54.014813
3.500,53.666743
4.000,53.270060
4.500,52.826760
5.000,52.339029
5.500,51.809221
6.000,51.239829
6.500,50.633462
7.000,49.992815
7.500,49.320647
8.000,48.619755
8.500,47.892947
9.000,47.143025
9.500,46.372757
10.000,45.584866
10.500,44.782005
11.000,43.966748
11.500,43.141573
12.000,42.308855
12.500,41.470853
13.000,40.629705
13.500,39.787425
14.000,38.945895
14.500,38.106867
15.000,37.271961
15.500,36.442668
16.000,35.620348
16.500,34.806237
17.000,34.001448
17.500,33.206978
18.000,32.423710
18.500,31.652422
19.000,30.893787
19.500,30.148386
20.000,29.416710
20.500,28.699164
21.000,27.996078
21.500,27.307709
22.000,26.634247
22.500,25.975825
23.000,25.332516
23.500,24.704346
24.000,24.091296
24.500,23.493305
25.000,22.910275
25.500,22.342078
26.000,21.788556
26.500,21.249525
27.000,20.724781
27.500,20.214101
28.000,19.717244
28.500,19.233958
29.000,18.763977
29.500,18.307030
30.000,17.862834
30.500,17.431104
31.000,17.011549
31.500,16.603877
32.000,16.207794
32.500,15.823004
33.000,15.449215
33.500,15.086135
34.000,14.733473
34.500,14.390945
35.000,14.058265
35.500,13.735157
36.000,13.421345
36.500,13.116560
37.000,12.820539
37.500,12.533022
38.000,12.253755
38.500,11.982493
39.000,11.718993
39.500,11.463020
40.000,11.214344
40.500,10.972741
41.000,10.737995
41.500,10.509894
42.000,10.288231
42.500,10.072809
43.000,9.863431
43.500,9.659912
44.000,9.462067
44.500,9.269721
45.000,9.082701
45.500,8.900841
46.000,8.723982
46.500,8.551965
47.000,8.384642
47.500,8.221865
48.000,8.063492
48.500,7.909389
49.000,7.759421
49.500,7.613461
50.000,7.471385
50.500,7.333072
51.000,7.198408
51.500,7.067281
52.000,6.939581
52.500,6.815204
53.000,6.694049
53.500,6.576017
54.000,6.461015
54.500,6.348951
55.000,6.239735
55.500,6.133284
56.000,6.029513
56.500,5.928343
57.000,5.829696
57.500,5.733499
58.000,5.639678
58.500,5.548163
59.000,5.458888
59.500,5.371787
60.000,5.286796
60.500,5.203854
61.000,5.122903
61.500,5.043884
62.000,4.966744
62.500,4.891427
63.000,4.817883
63.500,4.746061
64.000,4.675913
64.500,4.607392
65.000,4.540452
65.500,4.475050
66.000,4.411142
66.500,4.348689
67.000,4.287648
67.500,4.227984
68.000,4.169656
68.500,4.112631
69.000,4.056871
69.500,4.002344
70.000,3.949017
70.500,3.896856
71.000,3.845833
71.500,3.795916
72.000,3.747077
72.500,3.699287
73.000,3.652519
73.500,3.606746
74.000,3.561944
74.500,3.518086
75.000,3.475150
75.500,3.433111
76.000,3.391946
76.500,3.351635
77.000,3.312154
77.500,3.273484
78.000,3.235605
78.500,3.198496
79.000,3.162139
79.500,3.126516
80.000,3.091608
80.500,3.057398
81.000,3.023869
81.500,2.991006
82.000,2.958791
82.500,2.927210
83.000,2.896247
83.500,2.865887
84.000,2.836118
84.500,2.806924
85.000,2.778293
85.500,2.750211
86.000,2.722665
86.500,2.695644
87.000,2.669135
87.500,2.643127
88.000,2.617608
88.500,2.592568
89.000,2.567995
89.500,2.543879
90.000,2.520210
90.500,2.496978
91.000,2.474173
91.500,2.451786
92.000,2.429809
92.500,2.408231
93.000,2.387044
93.500,2.366241
94.000,2.345812
94.500,2.325750
95.000,2.306047
95.500,2.286695
96.000,2.267687
96.500,2.249016
97.000,2.230674
97.500,2.212656
98.000,2.194953
98.500,2.177561
99.000,2.160471
99.500,2.143679
100.000,2.127178
100.500,2.110963
101.000,2.095026
101.500,2.079364
102.000,2.063971
102.500,2.048840
103.000,2.033968
103.500,2.019349
104.000,2.004977
104.500,1.990849
105.000,1.976959
105.500,1.963304
106.000,1.949877
106.500,1.936676
107.000,1.923696
107.500,1.910932
108.000,1.898381
108.500,1.886038
109.000,1.873900
109.500,1.861963
110.000,1.850223
110.500,1.838677
111.000,1.827321
111.500,1.816152
112.000,1.805165
112.500,1.794359
113.000,1.783730
113.500,1.773274
114.000,1.762988
114.500,1.752870
115.000,1.742917
115.500,1.733126
116.000,1.723493
116.500,1.714017
117.000,1.704694
117.500,1.695522
118.000,1.686498
118.500,1.677620
119.000,1.668886
119.500,1.660292
120.000,1.651838
120.500,1.643519
121.000,1.635335
121.500,1.627282
122.000,1.619359
122.500,1.611564
123.000,1.603895
123.500,1.596349
124.000,1.588925
124.500,1.581621
125.000,1.574434
125.500,1.567364
126.000,1.560408
126.500,1.553564
127.000,1.546831
127.500,1.540207
128.000,1.533690
128.500,1.527280
129.000,1.520973
129.500,1.514769
130.000,1.508667
130.500,1.502664
131.000,1.496759
131.500,1.490951
132.000,1.485239
132.500,1.479621
133.000,1.474095
133.500,1.468661
134.000,1.463317
134.500,1.458062
135.000,1.452895
135.500,1.447814
136.000,1.442818
136.500,1.437907
137.000,1.433079
137.500,1.428333
138.000,1.423668
138.500,1.419083
139.000,1.414576
139.500,1.410147
140.000,1.405796
140.500,1.401520
141.000,1.397319
141.500,1.393192
142.000,1.389139
142.500,1.385157
143.000,1.381247
143.500,1.377408
144.000,1.373638
144.500,1.369937
145.000,1.366304
145.500,1.362739
146.000,1.359240
146.500,1.355807
147.000,1.352440
147.500,1.349136
148.000,1.345897
148.500,1.342720
149.000,1.339606
149.500,1.336554
150.000,1.333563
150.500,1.330632
151.000,1.327762
151.500,1.324950
152.000,1.322198
152.500,1.319504
153.000,1.316867
153.500,1.314287
154.000,1.311765
154.500,1.309298
155.000,1.306887
155.500,1.304531
156.000,1.302229
156.500,1.299982
157.000,1.297789
157.500,1.295649
158.000,1.293562
158.500,1.291527
159.000,1.289545
159.500,1.287614
160.000,1.285735
160.500,1.283906
161.000,1.282128
161.500,1.280401
162.000,1.278723
162.500,1.277095
163.000,1.275517
163.500,1.273987
164.000,1.272506
164.500,1.271073
165.000,1.269689
165.500,1.268353
166.000,1.267064
166.500,1.265822
167.000,1.264628
167.500,1.263481
168.000,1.262380
168.500,1.261326
169.000,1.260318
169.500,1.259356
170.000,1.258440
170.500,1.257570
171.000,1.256746
171.500,1.255967
172.000,1.255233
172.500,1.254544
173.000,1.253901
173.500,1.253302
174.000,1.252748
174.500,1.252239
175.000,1.251775
175.500,1.251355
176.000,1.250979
176.500,1.250648
177.000,1.250361
177.500,1.250118
178.000,1.249919
178.500,1.249765
179.000,1.249655
179.500,1.249589
180.000,1.249566
